"Posição","Nome","Localidade","2005","2007","2009","2011","2013","2015","2017","2019","2021","Unidade","Multiplicador"
"1","Índice de Desenvolvimento da Educação Básica",,,,,,,,,,,"",""
"1.1","Ensino fundamental",,,,,,,,,,,"",""
"1.1.1","Anos iniciais",,,,,,,,,,,"",""
"1.1.1.1.1","Municipal","Barbalha","3.0","3.9","3.9","4.8","5.1","5.8","6.2","6.2","5.6","",""
"1.1.1.1.1","Municipal","Barreira","2.6","3.2","3.5","4.6","5.1","5.8","5.9","6.0","5.7","",""
"1.1.1.1.1","Municipal","Barro","3.3","3.2","3.7","3.8","4.6","5.3","5.3","5.6","5.7","",""
"1.1.1.1.1","Municipal","Barroquinha","2.8","3.4","4.0","4.9","5.0","5.6","7.2","7.4","7.7","",""
"1.1.1.1.1","Municipal","Baturité","2.5","3.0","3.5","4.3","4.7","4.6","5.0","5.5","5.5","",""
"1.1.1.1.1","Municipal","Beberibe","3.3","3.0","4.7","5.3","5.4","5.5","6.3","6.0","6.2","",""
"1.1.1.1.1","Municipal","Bela Cruz","3.8","3.5","4.4","5.2","5.3","5.6","6.6","6.5","5.8","",""
"1.1.1.1.1","Municipal","Boa Viagem","2.4","3.8","4.1","4.4","4.5","5.2","5.6","5.3","5.8","",""
"1.1.1.1.1","Municipal","Brejo Santo","2.9","3.0","4.7","5.9","7.2","8.1","7.9","6.1","6.4","",""
"1.1.1.1.1","Municipal","Camocim","3.6","4.0","4.4","4.6","4.9","5.8","6.6","6.7","6.5","",""
"1.1.1.1.1","Municipal","Campos Sales","2.9","3.5","3.7","5.1","4.9","5.5","5.9","6.6","5.4","",""
"1.1.1.1.1","Municipal","Canindé","3.1","3.5","3.9","4.3","4.6","5.1","5.2","6.4","6.0","",""
"1.1.1.1.1","Municipal","Capistrano","3.3","3.2","3.4","4.0","3.9","5.4","5.7","5.4","5.0","",""
"1.1.1.1.1","Municipal","Caridade","3.0","3.0","3.6","4.7","4.2","4.8","5.5","5.5","5.5","",""
"1.1.1.1.1","Municipal","Cariré","3.1","3.0","4.0","5.6","7.4","6.6","7.2","6.8","6.6","",""
"1.1.1.1.1","Municipal","Caririaçu","2.4","2.8","3.7","4.2","4.8","5.5","5.4","6.0","5.5","",""
"1.1.1.1.1","Municipal","Cariús","3.3","3.5","4.3","4.5","4.8","5.7","5.9","5.5","6.2","",""
"1.1.1.1.1","Municipal","Carnaubal","3.3","3.0","4.0","5.2","6.2","5.7","5.7","6.9","6.0","",""
"1.1.1.1.1","Municipal","Cascavel","3.3","2.9","3.7","4.8","4.9","5.4","6.5","6.7","6.4","",""
