"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Unidade","Multiplicador"
"1.1","Série revisada","Iracema",,,,,,,,,,,,"70358","73691","80328","91526","116766.25","119625.36","125042.89","141423.44","142715.90","149418.588","168879.265","195282.203","R$",1000
"1.1","Série revisada","Irauçuba",,,,,,,,,,,,"84525","106489","110957","124748","142973.28","148673.72","160346.83","168327.62","166021.98","188518.99","192415.269","220294.117","R$",1000
"1.1","Série revisada","Itaiçaba",,,,,,,,,,,,"31075","34073","37920","43681","50873.28","57522.06","57200.70","69653.69","65922.87","69563.05","75891.015","82854.556","R$",1000
"1.1","Série revisada","Itaitinga",,,,,,,,,,,,"200020","242375","279556","352105","435972.42","575676.63","570232.56","663649.85","700655.95","722998.981","911356.545","1258826.386","R$",1000
"1.1","Série revisada","Itapajé",,,,,,,,,,,,"594791","715132","383759","450431","521957.58","497620.43","526508.56","550016.99","562380.26","640044.125","567837.566","594581.113","R$",1000
"1.1","Série revisada","Itapipoca",,,,,,,,,,,,"704980","802759","928073","1002563","1197645.56","1191433.07","1329819.96","1560336.55","1649738.77","1678107.953","1644837.123","1784006.658","R$",1000
"1.1","Série revisada","Itapiúna",,,,,,,,,,,,"65208","78965","73321","90332","104732.19","112504.90","123076.67","135105.05","134424.49","145818.602","163790.154","170313.92","R$",1000
"1.1","Série revisada","Itarema",,,,,,,,,,,,"208962","238990","248662","353145","379132.61","396507.88","433557.58","770372.70","745518.70","615078.291","694590.964","766786.2","R$",1000
"1.1","Série revisada","Itatira",,,,,,,,,,,,"75951","98480","66495","92720","107405.25","114214.19","112348.12","130467.90","125100.01","136853.316","154347.363","174029.392","R$",1000
"1.1","Série revisada","Jaguaretama",,,,,,,,,,,,"82526","101150","94279","107965","129820.32","136630.59","141989.97","149930.89","156217.41","170402.619","205399.023","226643.899","R$",1000
"1.1","Série revisada","Jaguaribara",,,,,,,,,,,,"75623","88371","101346","121204","140556.53","140831.04","123110.53","130346.13","133294.55","126445.857","140727.149","154002.311","R$",1000
"1.1","Série revisada","Jaguaribe",,,,,,,,,,,,"235624","280425","309005","347615","419278.46","485151.30","451543.04","511614.75","590674.35","510275.24","555424.423","561174.778","R$",1000
"1.1","Série revisada","Jaguaruana",,,,,,,,,,,,"230189","263215","261369","292202","354774.17","396820.92","364367.81","404007.68","404199.98","477737.105","481687.801","566961.051","R$",1000
"1.1","Série revisada","Jardim",,,,,,,,,,,,"107867","119976","123441","146767","178308.11","174486.38","177566.93","194304.39","210872.20","230862.213","260703.527","294153.646","R$",1000
"1.1","Série revisada","Jati",,,,,,,,,,,,"28975","38678","34018","41041","66419.44","75985.02","79408.08","90500.95","94139.66","112634.758","119489.52","129728.66","R$",1000
"1.1","Série revisada","Jijoca de Jericoacoara",,,,,,,,,,,,"96137","108570","124122","138753","185465.39","216639.88","268006.82","310186.91","383001.17","493500.632","379028.852","551637.538","R$",1000
"1.1","Série revisada","Juazeiro do Norte",,,,,,,,,,,,"2151335","2475504","2829796","3232446","3819081.57","3921616.17","4183987.28","4428413.51","4815934.96","4868984.226","4827915.153","5114793.187","R$",1000
"1.1","Série revisada","Jucás",,,,,,,,,,,,"103169","121840","117542","140205","176396.10","172724.84","176488.18","187388.48","225459.42","244407.812","275712.527","319373.493","R$",1000
"1.1","Série revisada","Lavras da Mangabeira",,,,,,,,,,,,"111666","133456","136970","157668","190142.99","232094.25","219964.07","249151.43","260742.98","272566.514","285660.287","343303.548","R$",1000
"1.1","Série revisada","Limoeiro do Norte",,,,,,,,,,,,"505778","537356","575849","782694","809847.04","817926.15","924249.14","916986.13","949608.93","1046182.433","1226770.105","1423365.542","R$",1000
"1.1","Série revisada","Madalena",,,,,,,,,,,,"74830","93310","86303","90255","113447.95","126212.85","127340.13","139509.79","131491.60","141442.935","161610.928","174830.573","R$",1000
"1.1","Série revisada","Maracanaú",,,,,,,,,,,,"4499790","5005885","5321236","6291122","7029385.97","7896114.30","8100726.03","8540212.24","10330813.40","9746884.484","10031431.519","12337017.11","R$",1000
