"Posição","Nome","Localidade","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Unidade","Multiplicador"
"1","Taxa de mortalidade infantil","Marco","30.24","28.2","24","7.75","10.12","13.94","11.93","3.88","22.27","22.09","20.16","14.29","5.15","13.11","23.68","11.7","7.55","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Martinópole","40","11.17","19.61","7.19","5.75","36.81","28.74","30.86","17.86","20","13.89","-","5.56","5.81","5.29","10.7","5.26","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Massapê","30.21","20.83","13.28","17.76","20","15.47","13.94","16.48","5.78","14.22","10.33","18.8","15.55","12.92","20.34","12.99","11.67","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Mauriti","10.72","8.95","20.33","12.43","17.2","12.71","20.86","17.7","18.21","27.06","10.57","6.95","16.74","12.57","22.22","15.65","15.04","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Meruoca","22.73","26.92","9.43","-","23.47","23.81","30","27.91","5.29","17.24","34.09","4.72","14.42","20.24","10.42","4.98","5.75","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Milagres","10.44","16.67","12.77","4.45","20.5","17.16","16.87","12.14","12.56","17.86","8.29","14.29","-","10.42","23.05","11.43","8.5","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Milhã","5.32","17.05","18.4","5.62","25.32","6.37","20","23.08","8.26","40.7","6.29","19.61","31.85","6.67","21.43","13.33","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Miraíma","17.17","7.84","8.73","24.9","-","4.72","18.69","35.9","15.15","9.48","17.14","23.12","16.48","14.42","5.29","11.76","-","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Missão Velha","28.08","18.9","18.05","24.79","20.47","17.3","24.22","18.58","10.58","11.04","16.45","10.27","19.11","23.53","12.09","8.17","3.54","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Mombaça","23.88","11.43","28.71","17.52","14.75","12.7","8.66","15.22","8.26","18.48","14.71","10.2","18.83","1.96","12.77","15.18","13.95","óbitos por mil nascidos vivos",1
